wopee.io/testing-bot/,https://wopee.io/ai-testing-agents/,301,TRUE
wopee.io/bot/,https://wopee.io/ai-testing-agents/,301,TRUE
wopee.io/l/,https://wopee.io/,301,TRUE
wopee.io/GetEarlyAccess/,https://wopee.io/book-demo/,301,TRUE
wopee.io/NoWork/,https://wopee.io/about-us/,301,TRUE
wopee.io/QA-and-Testing-Meetup-Lisboa-2024-Nov-13/,https://wopee.io/,301,TRUE
wopee.io/Web-Summit-Hacks/,https://wopee.io/,301,TRUE
wopee.io/WebSummit-Follow-Up/,https://wopee.io/,301,TRUE
wopee.io/WebSummit/,https://wopee.io/,301,TRUE
wopee.io/banana/,https://wopee.io/about-us/,301,TRUE
wopee.io/bananas/,https://wopee.io/about-us/,301,TRUE
wopee.io/beer/,https://wopee.io/about-us/,301,TRUE
wopee.io/blog/top-5-applitools-alternatives-for-visual-testing--2024/,https://wopee.io/blog/applitools-alternatives/,301,TRUE
wopee.io/brno/,https://wopee.io/,301,TRUE
wopee.io/contact-us/,https://wopee.io/about-us/,301,TRUE
wopee.io/contact/,https://wopee.io/about-us/,301,TRUE
wopee.io/early-access/,https://wopee.io/,301,TRUE
wopee.io/guides/wopee-mcp/,https://wopee.io/mcp/,301,TRUE
wopee.io/jan/,https://wopee.io/about-us/,301,TRUE
wopee.io/like/,https://wopee.io/,301,TRUE
wopee.io/lisbon/,https://wopee.io/about-us/,301,TRUE
wopee.io/olena/,https://wopee.io/about-us/,301,TRUE
wopee.io/partner/,https://wopee.io/,301,TRUE
wopee.io/protest/,https://wopee.io/,301,TRUE
wopee.io/sy-mentoring/,https://wopee.io/,301,TRUE
wopee.io/team/,https://wopee.io/about-us/,301,TRUE
wopee.io/testwarez/,https://wopee.io/,301,TRUE
wopee.io/toc/,https://wopee.io/terms-and-conditions/,301,TRUE
wopee.io/vc/,https://wopee.io/,301,TRUE
wopee.io/wopee-commander/,https://wopee.io/,301,TRUE
wopee.io/workshops/,https://wopee.io/,301,TRUE
wopee.io/ws240618/,https://wopee.io/,301,TRUE
wopee.io/ws240709/,https://wopee.io/,301,TRUE
wopee.io/ws240820/,https://wopee.io/,301,TRUE
wopee.io/ws240917/,https://wopee.io/,301,TRUE
wopee.io/ws241001/,https://wopee.io/,301,TRUE
